# The characters NotoSansCJKsc-Subset-*.ttf carry, one per line.
# Cut from Noto Sans CJK SC to the text of the zh-CN card in
# scripts/make_card.py. Regenerate both faces and this file with
# scripts/subset_cjk_font.py after changing a Chinese string there;
# make_card.py reads this and refuses to draw a character it lacks.
U+0020  
U+0035 5
U+0037 7
U+0041 A
U+0053 S
U+0054 T
U+3001 、
U+3002 。
U+4E00 一
U+4E0B 下
U+4E13 专
U+4E1C 东
U+4E2A 个
U+4E2D 中
U+4E3B 主
U+4E4B 之
U+4E8B 事
U+4E8E 于
U+4EBA 人
U+4EEC 们
U+4EF6 件
U+4F53 体
U+4F60 你
U+516B 八
U+5176 其
U+5199 写
U+51C6 准
U+51FA 出
U+5206 分
U+521D 初
U+5230 到
U+524D 前
U+53CD 反
U+53D1 发
U+53E3 口
U+5408 合
U+540E 后
U+5458 员
U+5531 唱
U+5668 器
U+56DB 四
U+5728 在
U+5730 地
U+573A 场
U+5B83 它
U+5B9E 实
U+5BA1 审
U+5BF9 对
U+5E08 师
U+5E76 并
U+5F0F 式
U+5F20 张
U+5F52 归
U+5F7C 彼
U+5F97 得
U+5FC6 忆
U+6027 性
U+60EB 惫
U+628A 把
U+6297 抗
U+62A2 抢
U+62D2 拒
U+62DB 招
U+62DF 拟
U+6389 掉
U+63A8 推
U+65B0 新
U+662F 是
U+667A 智
U+66F4 更
U+6709 有
U+675F 束
U+6761 条
U+6790 析
U+679C 果
U+6821 校
U+6A21 模
U+6B21 次
U+6B64 此
U+6BB5 段
U+6BCF 每
U+6C42 求
U+6C60 池
U+70B9 点
U+7136 然
U+73B0 现
U+7406 理
U+7528 用
U+7533 申
U+7559 留
U+75B2 疲
U+7684 的
U+76F2 盲
U+7B5B 筛
U+7EA6 约
U+7ECF 经
U+7ED3 结
U+7EFC 综
U+7FFB 翻
U+8005 者
U+804C 职
U+8058 聘
U+80FD 能
U+85AA 薪
U+884C 行
U+897F 西
U+8BB0 记
U+8BB2 讲
U+8BBA 论
U+8BC4 评
U+8BF7 请
U+8BFB 读
U+8C03 调
U+90FD 都
U+916C 酬
U+9605 阅
U+9636 阶
U+9700 需
U+FF0C ，
